"('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('별도재무제표',))","('20240101-20241231', ('연결재무제표',))","('20230101-20231231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20220101-20221231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))"
dart_LossesOnSaleOfInvestmentsInSubsidiaries,종속기업 투자지분 처분손실,Losses on sale of investments in subsidiaries,ifrs-full:StatementOfComprehensiveIncomeAbstract,"관계기업,공동기업,종속기업 관련이익(손실)",종속기업 투자지분 처분손실,,,-0.0,,-564000000.0,-32144000000.0,
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익(손실),Profit (loss) before tax,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용차감전순이익(손실),,,1000345000000.0,5256529000000.0,-5140582000000.0,-7553977000000.0,-33843619000000.0,-34658099000000.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용(수익),Tax expense (income),ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용(수익),,,171006000000.0,1634561000000.0,-1891349000000.0,-2837833000000.0,-9414511000000.0,-9360387000000.0
ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익(손실),,,829339000000.0,3621968000000.0,-3249233000000.0,-4716144000000.0,-24429108000000.0,-25297712000000.0
ifrs-full_OtherComprehensiveIncome,기타포괄손익,Other comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,,,-97396000000.0,629001000000.0,-154344000000.0,-228672000000.0,1246869000000.0,311791000000.0
ifrs-full_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류되지 않는 기타포괄손익,"Other comprehensive income that will not be reclassified to profit or loss, net of tax",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,후속적으로 당기손익으로 재분류되지 않는 기타포괄손익,,-97396000000.0,-201722000000.0,-154344000000.0,-330738000000.0,733410000000.0,311791000000.0
ifrs-full_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류되는 기타포괄손익,"Other comprehensive income that will be reclassified to profit or loss, net of tax",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,후속적으로 당기손익으로 재분류되는 기타포괄손익,,,830723000000.0,,102066000000.0,513459000000.0,
ifrs-full_ComprehensiveIncome,총포괄손익,Comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,총포괄손익,,,731943000000.0,4250969000000.0,-3403577000000.0,-4944816000000.0,-23182239000000.0,-24985921000000.0
ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 당기순이익(손실),"Profit (loss), attributable to owners of parent",ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익(손실)의 귀속 [개요],지배기업의 소유주에게 귀속되는 당기순이익(손실),,,3491698000000.0,,-4822549000000.0,-24466853000000.0,
ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분에 귀속되는 당기순이익(손실),"Profit (loss), attributable to non-controlling interests",ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익(손실)의 귀속 [개요],비지배지분에 귀속되는 당기순이익(손실),,,130270000000.0,,106405000000.0,37745000000.0,
ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 포괄손익,"Comprehensive income, attributable to owners of parent",ifrs-full:StatementOfComprehensiveIncomeAbstract,포괄손익의 귀속 [개요],지배기업의 소유주에게 귀속되는 포괄손익,,,4070175000000.0,,-5032584000000.0,-23273171000000.0,
ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests,비지배지분에 귀속되는 포괄손익,"Comprehensive income, attributable to non-controlling interests",ifrs-full:StatementOfComprehensiveIncomeAbstract,포괄손익의 귀속 [개요],비지배지분에 귀속되는 포괄손익,,,180794000000.0,,87768000000.0,90932000000.0,
ifrs-full_BasicEarningsLossPerShare,기본주당이익(손실),Basic earnings (loss) per share,ifrs-full:StatementOfComprehensiveIncomeAbstract,주당이익(손실) [개요],기본주당이익(손실),,1292.0,5439.0,-5061.0,-7512.0,-38112.0,-39407.0
ifrs-full_DilutedEarningsLossPerShare,희석주당이익(손실),Diluted earnings (loss) per share,ifrs-full:StatementOfComprehensiveIncomeAbstract,주당이익(손실) [개요],희석주당이익(손실),,1292.0,5439.0,-5061.0,-7512.0,-38112.0,-39407.0
