"('[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)', 'label_en')","('[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)', 'class0')","('[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)', 'class1')","('[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)', 'class2')","('[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('연결재무제표',))","('20240101-20241231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20230101-20231231', ('별도재무제표',))","('20220101-20221231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))"
ifrs-full_SellingGeneralAndAdministrativeExpense,8. 판매비와관리비,"Selling, general and administrative expense",ifrs-full:StatementOfComprehensiveIncomeAbstract,8. 판매비와관리비,,,747697052540.0,-579888021073.0,594975574236.0,-447792100759.0,612279915235.0,-463094803904.0
dart_OtherOperatingExpense,9. 기타의영업비용,Other operating expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,9. 기타의영업비용,,,127078209443.0,-143512172142.0,669683698916.0,-690644613940.0,62802880931.0,-63012445206.0
ifrs-full_ProfitLossFromOperatingActivities,영  업  이  익,Profit (loss) from operating activities,ifrs-full:StatementOfComprehensiveIncomeAbstract,영  업  이  익,,,1098240303737.0,1024732993797.0,564659042175.0,472385960719.0,656424566711.0,645745222154.0
dart_NonOperatingIncome,영 업 외 수 익,Non-operating Income,ifrs-full:StatementOfComprehensiveIncomeAbstract,영 업 외 수 익,,,166402364231.0,92308586087.0,112546641271.0,63236147839.0,65846329194.0,65691968380.0
entity00296290_NonOperatingIncomeAttributableToAccountedForUsingEquityMethodOfNonOperatingIncome,1. 지분법이익,"Non-operating income, attributable to accounted for using equity method",ifrs-full:StatementOfComprehensiveIncomeAbstract,영 업 외 수 익,1. 지분법이익,,49625125603.0,,65465533549.0,,27340162028.0,
entity00296290_NonOperatingIncomeAttributableToOtherOfNonOperatingIncome,2. 기타,"Non-operating income, attributable to other",ifrs-full:StatementOfComprehensiveIncomeAbstract,영 업 외 수 익,2. 기타,,116777238628.0,,47081107722.0,,38506167166.0,
dart_NonOperatingExpense,영 업 외 비 용,Non-operating expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,영 업 외 비 용,,,-172359932324.0,-26762775119.0,-92148819073.0,-84697552521.0,-42102102723.0,-48126082087.0
entity00296290_NonOperatingIncomeAttributableToOtherOfNonOperatingExpense,1. 지분법손실,"Non-operating expense, attributable to accounted for using equity method",ifrs-full:StatementOfComprehensiveIncomeAbstract,영 업 외 비 용,1. 지분법손실,,-51418689064.0,,-59911396140.0,,-19984647986.0,
entity00296290_NonOperatingExpenseAttributableToOtherOfNonOperatingExpense,2. 기타,"Non-operating expense, attributable to other",ifrs-full:StatementOfComprehensiveIncomeAbstract,영 업 외 비 용,2. 기타,,-120941243260.0,,-32237422933.0,,-22117454737.0,
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익,Profit (loss) before tax,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용차감전순이익,,,1092282735644.0,1090278804765.0,585056864373.0,450924556037.0,680168793182.0,663311108447.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법 인 세 비 용,Tax expense (income),ifrs-full:StatementOfComprehensiveIncomeAbstract,법 인 세 비 용,,,-257399425813.0,-275200884929.0,144319856337.0,-112547014171.0,171998466961.0,-170206896582.0
ifrs-full_ProfitLoss,당 기 순 이 익,Profit (loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,당 기 순 이 익,,,834883309831.0,815077919836.0,440737008036.0,338377541866.0,508170326221.0,493104211865.0
ifrs-full_ProfitLossAttributableToOwnersOfParent,지배주주지분,"Profit (loss), attributable to owners of parent",ifrs-full:StatementOfComprehensiveIncomeAbstract,지배주주지분,,,835047385103.0,,436281442659.0,,507326120051.0,
ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배주주지분,"Profit (loss), attributable to non-controlling interests",ifrs-full:StatementOfComprehensiveIncomeAbstract,비지배주주지분,,,-164075272.0,,4455565377.0,,844206170.0,
ifrs-full_OtherComprehensiveIncome,기 타 포 괄 손 익,Other comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,기 타 포 괄 손 익,,,60307279193.0,52675473546.0,-6117045756.0,-9437326203.0,-27632320503.0,-28325664217.0
ifrs-full_ComprehensiveIncome,총포괄손익,Total comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,총포괄손익,,,895190589024.0,867753393382.0,434619962280.0,328940215663.0,480538005718.0,464778547648.0
ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent,지배주주지분,"Comprehensive income, attributable to owners of parent",ifrs-full:StatementOfComprehensiveIncomeAbstract,총포괄손익,지배주주지분,,895352404737.0,,430187666945.0,,479675845118.0,
ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests,비지배주주지분,"Comprehensive income, attributable to non-controlling interests",ifrs-full:StatementOfComprehensiveIncomeAbstract,총포괄손익,비지배주주지분,,-161815713.0,,4432295335.0,,862160600.0,
ifrs-full_BasicEarningsLossPerShare,보통주기본주당이익,Basic earnings (loss) per share,ifrs-full:StatementOfComprehensiveIncomeAbstract,주  당  이  익,보통주기본주당이익,,31269.0,30527.0,15563.0,12020.0,17919.0,17410.0
ifrs-full_DilutedEarningsLossPerShare,보통주희석주당이익,Diluted earnings (loss) per share,ifrs-full:StatementOfComprehensiveIncomeAbstract,주  당  이  익,보통주희석주당이익,,28538.0,27874.0,14889.0,11624.0,16478.0,16025.0
dart_BasicEarningsLossPerSharePreferredStock,우선주기본주당이익,Basic earnings (loss) per share - preferred stock,ifrs-full:StatementOfComprehensiveIncomeAbstract,주  당  이  익,우선주기본주당이익,,29370.0,28619.0,24011.0,19221.0,20347.0,19833.0
dart_DilutedEarningsLossPerSharePreferredStock,우선주희석주당이익,Diluted earnings (loss) per share - preferred stock,ifrs-full:StatementOfComprehensiveIncomeAbstract,주  당  이  익,우선주희석주당이익,,29370.0,28619.0,24011.0,19221.0,20347.0,19833.0
