"('[DB320000] 포괄손익계산서, 은행 - 연결 | Statement of Comprehensive Income, Deposit Based - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[DB320000] 포괄손익계산서, 은행 - 연결 | Statement of Comprehensive Income, Deposit Based - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[DB320000] 포괄손익계산서, 은행 - 연결 | Statement of Comprehensive Income, Deposit Based - Consolidated financial statements (Unit: KRW)', 'label_en')","('[DB320000] 포괄손익계산서, 은행 - 연결 | Statement of Comprehensive Income, Deposit Based - Consolidated financial statements (Unit: KRW)', 'class0')","('[DB320000] 포괄손익계산서, 은행 - 연결 | Statement of Comprehensive Income, Deposit Based - Consolidated financial statements (Unit: KRW)', 'class1')","('[DB320000] 포괄손익계산서, 은행 - 연결 | Statement of Comprehensive Income, Deposit Based - Consolidated financial statements (Unit: KRW)', 'class2')","('[DB320000] 포괄손익계산서, 은행 - 연결 | Statement of Comprehensive Income, Deposit Based - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('별도재무제표',))","('20240101-20241231', ('연결재무제표',))","('20230101-20231231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20220101-20221231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))"
ifrs-full_ProfitLoss,연결당기순이익,Profit (loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,연결당기순이익,,,2428083000000.0,2654338000000.0,2411475000000.0,2675188000000.0,2674730000000.0,2454789000000.0
dart_AdjustedProfitLossNetOfRegulatoryReserveForCreditLoss,대손준비금 반영후 조정이익,"Adjusted profit (loss), net of regulatory reserve for credit loss",ifrs-full:StatementOfComprehensiveIncomeAbstract,대손준비금 반영후 조정이익,,,2190743000000.0,2430875000000.0,2353644000000.0,2601156000000.0,2357582000000.0,2204343000000.0
ifrs-full_OtherComprehensiveIncome,법인세비용차감후 연결기타포괄손익,Other comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용차감후 연결기타포괄손익,,,274919000000.0,421234000000.0,244521000000.0,291713000000.0,-467974000000.0,-150389000000.0
ifrs-full_ComprehensiveIncome,연결총포괄이익,Comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,연결총포괄이익,,,2703002000000.0,3075572000000.0,2655996000000.0,2966901000000.0,2206756000000.0,2304400000000.0
ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업 주주지분 당기순이익,"Profit (loss), attributable to owners of parent",ifrs-full:StatementOfComprehensiveIncomeAbstract,연결당기순이익의 귀속,지배기업 주주지분 당기순이익,,,2644524000000.0,,2669685000000.0,2667696000000.0,
ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분 당기순이익,"Profit (loss), attributable to non-controlling interests",ifrs-full:StatementOfComprehensiveIncomeAbstract,연결당기순이익의 귀속,비지배지분 당기순이익,,,9814000000.0,,5503000000.0,7034000000.0,
ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent,지배기업 주주지분 총포괄이익,"Comprehensive income, attributable to owners of parent",ifrs-full:StatementOfComprehensiveIncomeAbstract,연결총포괄이익의 귀속,지배기업 주주지분 총포괄이익,,,3063188000000.0,,2960320000000.0,2199740000000.0,
ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests,비지배지분 총포괄이익,"Comprehensive income, attributable to non-controlling interests",ifrs-full:StatementOfComprehensiveIncomeAbstract,연결총포괄이익의 귀속,비지배지분 총포괄이익,,,12384000000.0,,6581000000.0,7016000000.0,
ifrs-full_BasicEarningsLossPerShare,기본주당이익,Basic earnings (loss) per share,ifrs-full:StatementOfComprehensiveIncomeAbstract,지배기업 주주지분에 대한 주당이익,기본주당이익,,2835.0,3106.0,2838.0,3162.0,3180.0,2920.0
ifrs-full_DilutedEarningsLossPerShare,희석주당이익,Diluted earnings (loss) per share,ifrs-full:StatementOfComprehensiveIncomeAbstract,지배기업 주주지분에 대한 주당이익,희석주당이익,,2835.0,3106.0,2838.0,3162.0,3180.0,2920.0
